textbox22,Textbox9
generated on 05/03/2020 12:50:21 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Germany,European Region of WHO,South West Europe,2017,17,2017-04-24,2017-04-30,,56,0,0,1,,0,1,1,0,0,1,2,,No Report
Germany,European Region of WHO,South West Europe,2017,18,2017-05-01,2017-05-07,,65,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,19,2017-05-08,2017-05-14,,53,0,0,0,,0,0,3,0,0,3,3,,No Report
Germany,European Region of WHO,South West Europe,2017,20,2017-05-15,2017-05-21,,46,0,1,2,,0,3,1,0,0,1,4,,No Report
Germany,European Region of WHO,South West Europe,2017,21,2017-05-22,2017-05-28,,50,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,22,2017-05-29,2017-06-04,,36,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2017,23,2017-06-05,2017-06-11,,20,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,24,2017-06-12,2017-06-18,,40,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2017,25,2017-06-19,2017-06-25,,67,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,26,2017-06-26,2017-07-02,,31,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,27,2017-07-03,2017-07-09,,33,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,28,2017-07-10,2017-07-16,,32,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,29,2017-07-17,2017-07-23,,34,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,30,2017-07-24,2017-07-30,,36,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,31,2017-07-31,2017-08-06,,27,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2017,32,2017-08-07,2017-08-13,,22,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,33,2017-08-14,2017-08-20,,31,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,34,2017-08-21,2017-08-27,,26,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,35,2017-08-28,2017-09-03,,39,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,36,2017-09-04,2017-09-10,,47,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,37,2017-09-11,2017-09-17,,50,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,38,2017-09-18,2017-09-24,,65,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,39,2017-09-25,2017-10-01,,,,,,,,,,,,,,,No Report
Germany,European Region of WHO,South West Europe,2017,40,2017-10-02,2017-10-08,,61,0,0,0,,0,0,3,0,0,3,3,,No Report
Germany,European Region of WHO,South West Europe,2017,41,2017-10-09,2017-10-15,,104,0,0,3,,0,3,2,0,0,2,5,,No Report
Germany,European Region of WHO,South West Europe,2017,42,2017-10-16,2017-10-22,,93,0,1,0,,0,1,1,0,0,1,2,,No Report
Germany,European Region of WHO,South West Europe,2017,43,2017-10-23,2017-10-29,,101,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2017,44,2017-10-30,2017-11-05,,68,0,0,1,,0,1,1,0,0,1,2,,No Report
Germany,European Region of WHO,South West Europe,2017,45,2017-11-06,2017-11-12,,112,0,2,1,,0,3,0,0,0,0,3,,No Report
Germany,European Region of WHO,South West Europe,2017,46,2017-11-13,2017-11-19,,117,0,2,0,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2017,47,2017-11-20,2017-11-26,,139,0,1,0,,0,1,5,0,0,5,6,,No Report
Germany,European Region of WHO,South West Europe,2017,48,2017-11-27,2017-12-03,,143,0,2,3,,0,5,2,0,0,2,7,,No Report
Germany,European Region of WHO,South West Europe,2017,49,2017-12-04,2017-12-10,,144,0,2,4,,0,6,1,0,0,1,7,,No Report
Germany,European Region of WHO,South West Europe,2017,50,2017-12-11,2017-12-17,,136,0,5,1,,0,6,7,0,0,7,13,,No Report
Germany,European Region of WHO,South West Europe,2017,51,2017-12-18,2017-12-24,,118,0,15,1,,0,16,14,0,0,14,30,,No Report
Germany,European Region of WHO,South West Europe,2017,52,2017-12-25,2017-12-31,,64,0,5,1,,0,6,18,0,0,18,24,,No Report
Germany,European Region of WHO,South West Europe,2018,1,2018-01-01,2018-01-07,,177,0,8,3,,0,11,34,0,0,34,45,,No Report
Germany,European Region of WHO,South West Europe,2018,2,2018-01-08,2018-01-14,,214,0,20,3,,0,23,39,1,0,40,63,,No Report
Germany,European Region of WHO,South West Europe,2018,3,2018-01-15,2018-01-21,,301,0,19,6,,0,25,109,3,0,112,137,,No Report
Germany,European Region of WHO,South West Europe,2018,4,2018-01-22,2018-01-28,,342,0,53,5,,0,58,124,5,0,129,187,,No Report
Germany,European Region of WHO,South West Europe,2018,5,2018-01-29,2018-02-04,,403,0,41,3,,0,44,160,3,0,163,207,,No Report
Germany,European Region of WHO,South West Europe,2018,6,2018-02-05,2018-02-11,,388,0,28,16,,0,44,144,0,0,144,188,,No Report
Germany,European Region of WHO,South West Europe,2018,7,2018-02-12,2018-02-18,,427,0,66,8,,0,74,168,1,0,169,243,,No Report
Germany,European Region of WHO,South West Europe,2018,8,2018-02-19,2018-02-25,,420,0,62,7,,0,69,184,2,0,186,255,,No Report
Germany,European Region of WHO,South West Europe,2018,9,2018-02-26,2018-03-04,,442,0,90,8,,0,98,190,4,0,194,292,,No Report
Germany,European Region of WHO,South West Europe,2018,10,2018-03-05,2018-03-11,,413,0,88,7,,0,95,171,0,0,171,266,,No Report
Germany,European Region of WHO,South West Europe,2018,11,2018-03-12,2018-03-18,,350,0,75,5,,0,80,115,0,0,115,195,,No Report
Germany,European Region of WHO,South West Europe,2018,12,2018-03-19,2018-03-25,,224,0,46,7,,0,53,49,1,0,50,103,,No Report
Germany,European Region of WHO,South West Europe,2018,13,2018-03-26,2018-04-01,,155,0,36,7,,0,43,26,0,0,26,69,,No Report
Germany,European Region of WHO,South West Europe,2018,14,2018-04-02,2018-04-08,,97,0,15,4,,0,19,12,0,0,12,31,,No Report
Germany,European Region of WHO,South West Europe,2018,15,2018-04-09,2018-04-15,,103,0,8,1,,0,9,1,0,0,1,10,,No Report
Germany,European Region of WHO,South West Europe,2018,16,2018-04-16,2018-04-22,,82,0,3,1,,0,4,1,0,0,1,5,,No Report
Germany,European Region of WHO,South West Europe,2018,17,2018-04-23,2018-04-29,,56,0,0,0,,0,0,1,0,0,1,1,,No Report
Germany,European Region of WHO,South West Europe,2018,18,2018-04-30,2018-05-06,,44,0,0,2,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2018,19,2018-05-07,2018-05-13,,41,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,20,2018-05-14,2018-05-20,,22,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,21,2018-05-21,2018-05-27,,23,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,22,2018-05-28,2018-06-03,,20,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,23,2018-06-04,2018-06-10,,52,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,24,2018-06-11,2018-06-17,,37,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,25,2018-06-18,2018-06-24,,45,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,26,2018-06-25,2018-07-01,,37,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,27,2018-07-02,2018-07-08,,27,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,28,2018-07-09,2018-07-15,,21,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,29,2018-07-16,2018-07-22,,17,0,1,1,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2018,30,2018-07-23,2018-07-29,,19,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,31,2018-07-30,2018-08-05,,19,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,32,2018-08-06,2018-08-12,,18,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,33,2018-08-13,2018-08-19,,18,0,1,0,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2018,34,2018-08-20,2018-08-26,,23,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,35,2018-08-27,2018-09-02,,19,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,36,2018-09-03,2018-09-09,,21,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,37,2018-09-10,2018-09-16,,36,0,1,0,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2018,38,2018-09-17,2018-09-23,,36,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2018,39,2018-09-24,2018-09-30,,,,,,,,,,,,,,,No Report
Germany,European Region of WHO,South West Europe,2018,40,2018-10-01,2018-10-07,,32,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,41,2018-10-08,2018-10-14,,42,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,42,2018-10-15,2018-10-21,,48,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2018,43,2018-10-22,2018-10-28,,70,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2018,44,2018-10-29,2018-11-04,,69,0,2,1,,0,3,0,0,0,0,3,,No Report
Germany,European Region of WHO,South West Europe,2018,45,2018-11-05,2018-11-11,,99,0,0,2,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2018,46,2018-11-12,2018-11-18,,109,0,1,1,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2018,47,2018-11-19,2018-11-25,,122,0,2,1,,0,3,0,0,0,0,3,,No Report
Germany,European Region of WHO,South West Europe,2018,48,2018-11-26,2018-12-02,,117,0,1,3,,0,4,0,0,0,0,4,,No Report
Germany,European Region of WHO,South West Europe,2018,49,2018-12-03,2018-12-09,,121,0,4,1,,0,5,0,0,0,0,5,,No Report
Germany,European Region of WHO,South West Europe,2018,50,2018-12-10,2018-12-16,,131,0,2,1,,0,3,0,0,0,0,3,,No Report
Germany,European Region of WHO,South West Europe,2018,51,2018-12-17,2018-12-23,,102,0,2,3,,0,5,0,0,0,0,5,,No Report
Germany,European Region of WHO,South West Europe,2018,52,2018-12-24,2018-12-30,,30,0,1,1,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,1,2018-12-31,2019-01-06,,95,0,8,4,,0,12,0,0,0,0,12,,No Report
Germany,European Region of WHO,South West Europe,2019,2,2019-01-07,2019-01-13,,139,0,11,13,,0,24,0,0,0,0,24,,No Report
Germany,European Region of WHO,South West Europe,2019,3,2019-01-14,2019-01-20,,173,0,19,13,,0,32,0,0,0,0,32,,No Report
Germany,European Region of WHO,South West Europe,2019,4,2019-01-21,2019-01-27,,209,0,36,22,,0,58,0,0,0,0,58,,No Report
Germany,European Region of WHO,South West Europe,2019,5,2019-01-28,2019-02-03,,259,0,75,42,,0,117,0,0,0,0,117,,No Report
Germany,European Region of WHO,South West Europe,2019,6,2019-02-04,2019-02-10,,284,0,76,64,,0,140,0,0,0,0,140,,No Report
Germany,European Region of WHO,South West Europe,2019,7,2019-02-11,2019-02-17,,280,0,76,63,,0,139,0,0,0,0,139,,No Report
Germany,European Region of WHO,South West Europe,2019,8,2019-02-18,2019-02-24,,279,0,81,55,,0,136,0,0,0,0,136,,No Report
Germany,European Region of WHO,South West Europe,2019,9,2019-02-25,2019-03-03,,263,0,64,71,,0,135,0,0,0,0,135,,No Report
Germany,European Region of WHO,South West Europe,2019,10,2019-03-04,2019-03-10,,220,0,35,63,,0,98,0,0,0,0,98,,No Report
Germany,European Region of WHO,South West Europe,2019,11,2019-03-11,2019-03-17,,194,0,31,53,,0,84,0,0,0,0,84,,No Report
Germany,European Region of WHO,South West Europe,2019,12,2019-03-18,2019-03-24,,162,0,30,40,,0,70,0,0,0,0,70,,No Report
Germany,European Region of WHO,South West Europe,2019,13,2019-03-25,2019-03-31,,128,0,9,27,,0,36,0,0,0,0,36,,No Report
Germany,European Region of WHO,South West Europe,2019,14,2019-04-01,2019-04-07,,110,0,17,18,,0,35,0,0,0,0,35,,No Report
Germany,European Region of WHO,South West Europe,2019,15,2019-04-08,2019-04-14,,101,0,6,12,,0,18,0,0,0,0,18,,No Report
Germany,European Region of WHO,South West Europe,2019,16,2019-04-15,2019-04-21,,52,0,2,11,,0,13,0,0,0,0,13,,No Report
Germany,European Region of WHO,South West Europe,2019,17,2019-04-22,2019-04-28,,25,0,0,2,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,18,2019-04-29,2019-05-05,,31,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,19,2019-05-06,2019-05-12,,30,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,20,2019-05-13,2019-05-19,,35,0,1,1,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,21,2019-05-20,2019-05-26,,29,0,1,1,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,22,2019-05-27,2019-06-02,,14,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,23,2019-06-03,2019-06-09,,29,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,24,2019-06-10,2019-06-16,,22,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,25,2019-06-17,2019-06-23,,26,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,26,2019-06-24,2019-06-30,,24,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,27,2019-07-01,2019-07-07,,125,0,2,1,,0,3,1,0,0,1,4,,No Report
Germany,European Region of WHO,South West Europe,2019,28,2019-07-08,2019-07-14,,25,0,0,2,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,29,2019-07-15,2019-07-21,,22,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,30,2019-07-22,2019-07-28,,22,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,31,2019-07-29,2019-08-04,,10,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,32,2019-08-05,2019-08-11,,22,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,33,2019-08-12,2019-08-18,,19,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,34,2019-08-19,2019-08-25,,8,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,35,2019-08-26,2019-09-01,,16,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,36,2019-09-02,2019-09-08,,21,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,37,2019-09-09,2019-09-15,,30,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,38,2019-09-16,2019-09-22,,36,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,39,2019-09-23,2019-09-29,,,,,,,,,,,,,,,No Report
Germany,European Region of WHO,South West Europe,2019,40,2019-09-30,2019-10-06,,38,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,41,2019-10-07,2019-10-13,,76,0,1,1,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,42,2019-10-14,2019-10-20,,84,0,2,3,,0,5,0,0,0,0,5,,No Report
Germany,European Region of WHO,South West Europe,2019,43,2019-10-21,2019-10-27,,66,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,44,2019-10-28,2019-11-03,,64,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,45,2019-11-04,2019-11-10,,103,0,0,2,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,46,2019-11-11,2019-11-17,,93,0,1,0,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,47,2019-11-18,2019-11-24,,98,0,1,0,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,48,2019-11-25,2019-12-01,,111,0,6,1,,0,7,0,0,0,0,7,,No Report
Germany,European Region of WHO,South West Europe,2019,49,2019-12-02,2019-12-08,,108,0,2,4,,0,6,0,0,0,0,6,,No Report
Germany,European Region of WHO,South West Europe,2019,50,2019-12-09,2019-12-15,,102,0,6,2,,0,8,0,2,0,2,10,,No Report
Germany,European Region of WHO,South West Europe,2019,51,2019-12-16,2019-12-22,,97,0,6,6,,0,12,0,0,0,0,12,,No Report
Germany,European Region of WHO,South West Europe,2019,52,2019-12-23,2019-12-29,,27,0,4,1,,0,5,0,0,0,0,5,,No Report
Germany,European Region of WHO,South West Europe,2020,1,2019-12-30,2020-01-05,,62,0,4,3,,0,7,0,1,0,1,8,,No Report
Germany,European Region of WHO,South West Europe,2020,2,2020-01-06,2020-01-12,,126,0,24,8,,0,32,0,4,0,4,36,,No Report
Germany,European Region of WHO,South West Europe,2020,3,2020-01-13,2020-01-19,,158,0,26,14,,0,40,0,9,0,9,49,,No Report
Germany,European Region of WHO,South West Europe,2020,4,2020-01-20,2020-01-26,,204,0,38,37,,0,75,0,7,0,7,82,,No Report
Germany,European Region of WHO,South West Europe,2020,5,2020-01-27,2020-02-02,,271,0,52,65,,0,117,1,12,0,13,130,,No Report
Germany,European Region of WHO,South West Europe,2020,6,2020-02-03,2020-02-09,,247,0,34,54,,0,88,0,12,0,12,100,,No Report
Germany,European Region of WHO,South West Europe,2020,7,2020-02-10,2020-02-16,,258,0,59,39,,0,98,0,7,0,7,105,,No Report
Germany,European Region of WHO,South West Europe,2020,8,2020-02-17,2020-02-23,,219,0,36,39,,0,75,0,20,0,20,95,,No Report
Germany,European Region of WHO,South West Europe,2020,9,2020-02-24,2020-03-01,,,,,,,,,,,,,,,No Report
Germany,European Region of WHO,South West Europe,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report

